Title;Description;Price;Capacity;Grape;Secondary Grape Varieties;Closure;Country;Characteristics;Type;ABV;Region;Style;Vintage
Vilarnau ‘Gaudi’ Organic Cava Brut Reserva, Penedès;This eye-catching bottle is inspired by Barcelona’s vibrant mosaic art, making it the ultimate centrepiece on any table. The Cava inside is just as impressive. It’s made by Vilarnau – one of the first wineries to be awarded the Wineries for Climate Protection certification. Energy comes from their biomass boiler and vineyards are irrigated from the rainwater filled lake that surrounds the winery – every decision made is with the aim of conserving their environment. All this care and attention results in happier vines, which means even more delicious wine. Their winemaker, Eva Plazas, is every bit as bubbly as the fizz she produces. She can be found cruising through the vineyards on her electric bike or showing guests the art of drinking from a traditional Spanish porron on the winery’s sunny terraces. Aged for 18 months ahead of release, this Brut Reserva makes the perfect apéritif. Expect bright notes of crisp apple, ripe pear and brioche. This wine won a gold medal for the Drinks Business Global Organic and Vegan Masters 2022;£13.99 per bottle;750ML;Macabeo;Parellada, Xarel-lo;Natural Cork;Spain;Bread, Green Apple, Pastry, Pear;White;ABV 11.50%;null;Crisp & Zesty;NV
Pardon et Fils Fleurie 2021/22, Côte des Labourons;The acclaimed Pardon & Fils make this on the excellent Côte des Labourons area of Fleurie, one of the finest crus of Beaujolais. It's a cru known for its elegant and fragrant expressions of Gamay, and this wine is a brilliant example. It has notes of red fruits and blackcurrant, a rich, silky palate and a long finish. Try this with duck. In 2022, this wine won a Decanter award;£15.99 per bottle;75CL;Gamay;null;Natural Cork;France;Strawberry, Black Cherry, Raspberry;Red;ABV 13.50%;Beaujolais;Soft & Fruity;2022
Peyrassol 'Réserve des Templiers' Rosé 2021/22 Magnum, Côtes de Provence;Peyrassol was established in the 12th century by the Knights Templar. Today, it’s the hub of a very different kind of pilgrimage – of wine lovers to one of the finest and most beautiful vineyards in all of Provence. Because the vineyards are at a higher altitude, there’s a perfect balance between warm daytime and cool nighttime temperatures to make the grapes incredibly aromatic. Perfect for rosé. It’s peachy and herbal – a heady distillation of the hills where it’s grown. With a wonderful citrusy edge, it’s really refreshing – but it’s also full bodied. Ideal with salty foods, like olives.;£35.99 per bottle;1.5LTR;Grenache;Cinsault, Mourvèdre, Syrah, Vermentino;Synthetic Cork;France;Herbaceous, Peach, Raspberry, Strawberry;Rosé;ABV 13.00%;Provence;Delicate & Dry;2022
Rustenberg Cabernet Sauvignon, 2020/21 Stellenbosch;Murray Barlow is one of South Africa's most exciting young winemakers and has won Diners Club's Young Winemaker of the Year title an unrivalled twice. He's shown why once again in this well-structured Cabernet. Expect dark berries, tobacco and a lengthy finish. In 2022, this wine won an IWC award for the 2020 vintage.;£14.99 per bottle;75CL;Cabernet Sauvignon;null;Natural Cork;South Africa;Tobacco, Black Fruit, Black Plum, Blackcurrant, Earth;Red;ABV 14.00%;Stellenbosch;Smooth & Mellow;2021
Baron de Boutisse Saint-Émilion Grand Cru 2018/19;This is a great-value Saint-Émilion Grand Cru from the family behind Château Recougne. As you'd expect from a wine of this calibre, it's deeply coloured, with intense aromas of mocha and sweet spice. It's very well structured, with flavours of vanilla and dark fruits. The perfect thing to share over roast beef.;£19.99 per bottle;75CL;Merlot;Cabernet Sauvignon;Natural Cork;France;Cedar, Black Plum, Blackcurrant;Red;ABV 14.50%;Bordeaux;Savoury & Full Bodied;2019
Chosen by Majestic Pinot Noir 2022, France;We sent our award-winning buying team all around the world on an exciting new mission: to curate a new collection showcasing the best examples of key regions and core grape varietals – at great prices. Our France buyer, Elizabeth Kelly MW, went out searching for a wine similar to Burgundy Pinot Noir – at a fraction of the price. This is the wine that took the top spot. It’s made by Maison Duvergey-Taboureau, a producer with over 150 years of experience with Burgundian varietals. Aged mostly in stainless steel tanks to preserve fresh fruity flavours, this wine sees a quarter of the blend aged in oak barrels to provide complexity and add hints of spice. With delicate aromas of cherry and coffee with subtle toast notes, it’s an approachable, easy-drinking red that’s a great match with meat dishes, pizza and barbecues.;£9.99 per bottle;75CL;Pinot Noir;null;Screwcap;France;Red Cherry, Red Fruit, Sweet Spice;Red;ABV 12.50%;null;Light & Elegant;2022
Chosen by Majestic Vinho Verde DOC 2022;We sent our award-winning buying team all around the world on an exciting new mission: to curate a new collection showcasing the best examples of key regions and core grape varietals – at wallet-friendly prices. A long-time favourite of Majestic wine customers, Vinho Verde is more popular than ever. And no wonder – its easy-drinking style is hugely appealing. Our buyers tasted hundreds of wines to find the best expression. It’s made from traditional grape varieties Loureiro, Arinto, Trajadura and Avesso grown in Portugal's coolest region in the far north of the country. Here, the cooling influence of the Atlantic helps create wines that have the perfect balance of aromatic intensity and freshness. It’s crisp and dry, with a mouthwatering minerality. Relatively low in alcohol at 11% with a touch of residual sweetness, it’s an ideal pairing for fresh seafood dishes.;£8.99 per bottle;75CL;Loureiro;Arinto, Trajadura, Avesso;Screwcap;Portugal;Citrus Fruit, Green Apple, Lemon;White;ABV 11.00%;Vinho Verde;Crisp & Zesty;2022
Gabriel Allard Côtes du Rhône Rouge 2022;Les Grandes Serres winery specialises in wines from the picturesque Southern Rhône Valley. With a new and enthusiastic team, modern cellars and careful maturation practises, Les Grandes Serres make internationally renowned wines that showcase the best of the region. Our Rhône buyer tasted this blind – and immediately fell in love. And once you try it, it’s easy to see why. Expect bold, juicy red-and black-fruit flavours with hints of spice. Its rich structure and herby notes make it a fantastic pairing with beef.;£9.99 per bottle;75CL;Grenache;Cinsault, Mourvèdre, Syrah;Natural Cork;France;Black Pepper, Black Plum, Red Fruit;Red;ABV 14.50%;Rhône;Smooth & Mellow;2022
Alain Jaume 'Roquedon' Organic Lirac 2018/19;The Jaume family have been making wine for over 100 years. Based in Châteauneuf-du-Pape, they’re dedicated to showcasing the best of the southern Rhône Valley. Lirac lies just across the river from their famed homeland, so it’s no surprise that the family decided to make wine there too. And this delicious bottling does their reputation proud. It’s made with hand-picked organic grapes, and is partially aged in oak for extra smoothness and complexity. Discover ripe red- and black-fruit flavours with touches of spice, vanilla and liquorice. Its silky tannins make it an ideal pairing for red meats like lamb or venison.;£18.99 per bottle;75CL;Grenache;Syrah, Carignan, Mourvèdre;Natural Cork;France;Spice, Black Plum, Blackberry, Earth, Raspberry;Red;ABV 15.00%;Rhône;Bold & Spicy;2019
Mirabeau 'Pure' Rosé 2021/22 Magnum, Côtes de Provence;True to its title, Mirabeau Pure Provence Rosé is renowned for its distinctive purity. It’s a classic blend of Grenache and Syrah, gently pressed and lovingly crafted to express its refined and elegant flavours. This attention to detail has won it wide critical acclaim. Expect lush notes of pink grapefruit and summer berries, with a hint of minerality on the finish. Mirabeau lovingly calls this 'Provence in a glass'. It'll make a fantastic partner for light fish dishes.;£37.99 per bottle;1.5LTR;Grenache;Cinsault, Syrah;Synthetic Cork;France;Herbaceous, Peach, Raspberry, Strawberry;Rosé;ABV 13.00%;Provence;Delicate & Dry;2022
Jim Barry 'The Lodge Hill' Riesling 2021/22, Clare Valley;Jim Barry purchased the land for The Lodge Hill vineyard in 1977 as he was sure it would produce some of the best Riesling in the Clare Valley. The plot sits high above sea-level. Grapes here are exposed to concentrated sunlight and cool nights which encourage gradual, slow ripening. The process helps retain the key characteristics of Riesling – fresh acidity and plenty of citrus. Come harvest time, gentle pressing preserves those natural flavours. The end result is mouthwatering. Dry, crisp and full of lemon, lime and grapefruit. Delicious alongside fresh seafood.;£15.99 per bottle;75CL;Riesling;null;Screwcap;Australia;Petrol, Citrus Fruit, Grapefruit, Green Apple, Honeysuckle, Lemon, Lime, Orange, Peach, Pear;White;ABV 12.50%;South Australia;Fresh & Elegant;2022
Nettie Viognier 2019/21, California;If you love floral, fragrant, full-bodied whites then this delicious Viognier is an absolute must-try. California’s Viogniers fly a bit under-the-radar, so it’s a real bargain. It’s named ‘Nettie’ after Miss Nettie Valear who planted an acorn on the site of the now-vineyard in memory of Abraham Lincoln. Now a majestic oak, it’s a reminder that while California feels relatively ‘New World’, wine has been made there for more than two centuries. Classic varieties like Viognier flourish there. This wine is a case in point – it’s full of character. It’s big. It’s lush. It’s fruity. Full of peach and apricot flavours, with a really rich, round texture. Excellent with Thai spiced chicken or shellfish.;£11.99 per bottle;75CL;Viognier;null;Screwcap;USA;Pear, Apricot, Floral, Honey, Peach;White;ABV 14.00%;California;Aromatic & Floral;2021
Thierry Delaunay 'Manoir' Sauvignon Blanc 2021/22, Touraine;The Loire is Sauvignon Blanc’s homeland. So it’s no surprise that Loire native Thierry Delaunay is passionate about the grape. Decades of family winemaking in the region means he has the pick of the crop when it comes to choosing grapes for his wines. He looks for the best grapes from the best pockets of vines in Touraine – and the results speak for themselves. This Sauvignon is seriously refreshing, seriously citrusy, and seriously good value. You’ll find nothing finer to pair with a goat’s cheese tart. And its more restrained flavour profile – less ripe and fruity than the standard Kiwi Sauvignon – makes it a perfect party wine. In 2022, this wine won an IWC award for the 2021 vintage.;£12.99 per bottle;75CL;Sauvignon Blanc;null;Screwcap;France;Green Apple, Citrus Fruit, Grass;White;ABV 13.00%;Loire;Fresh & Elegant;2022
Lanson Le Black Label Brut Champagne Magnum;With over 260 years of winemaking history, Lanson is one of the oldest Champagne houses. Queen Victoria gave the wines her seal of approval in 1900, issuing the house with a Royal Warrant. Le Black Label was then created in 1937 to honour the Royal Household. The Brut went on to become Lanson’s most famous cuvée – and you can now enjoy it in a double-sized bottle. The smart box also makes this a fantastic statement gift. It has toasty and delicate floral aromas that lead to flavours of ripe fruit, honey and refreshing citrus. The bubbles are fine and persistent, making Le Black Label a highly elegant Champagne that's sure to impress.;£99.99 per bottle;1.5LTR;Chardonnay;Pinot Meunier, Pinot Noir;Natural Cork;France;Bread, Citrus Fruit, Honey;White;ABV 12.50%;null;Crisp & Fruity;NV
Wind and Waves Alvarinho 2022, Vinho Verde DOC;Quinta da Calçada are one of the oldest producers in Vinho Verde’s Amarante region. The Lago Cerqueira family built their cellars here in 1917 – and over a century later, their wines have gone from strength to strength. This is an elegant expression of Alvarinho—known in Spain as Albariño— thanks to the subregion’s high elevation. Due to the vineyard’s lofty altitudes, grapes benefit from the warm, sunny days and cooler nighttime temperatures. The result? Ripe, juicy flavour balanced by a refreshing acidity. Expect floral hints and notes of tropical fruit and citrus. The refreshing acidity and minerality makes it a great part for fried fish dishes like calamari or fresh sushi and sashimi.;£11.99 per bottle;75CL;Alvarinho;null;Screwcap;Portugal;Citrus Fruit, Floral, Tropical Fruit;White;ABV 12.00%;null;Crisp & Zesty;2022
Lanson Le Blanc de Blancs Brut Champagne;With a Royal Warrant and status as the official fizz of Wimbledon, Lanson is one of the Champagne world’s most recognisable names. Such a big reputation demands top quality. That’s why the house sources its grapes for this Blanc de Blancs from a selection of the region's best Chardonnay vineyards. Grapes from Côte des Blancs bring finesse and elegance, while those from Montagne de Reims add body and richness – the perfect balance. Discover vibrant aromas of pear, marzipan and candied citrus. A note of chalky minerality makes these fine bubbles all the more elegant.;£75.99 per bottle;75CL;Chardonnay;null;Natural Cork;France;null;White;ABV 12.50%;null;null;NV
Mud House Chilean Sauvignon Blanc 2021/22, Central Valley;This label might look familiar, as Mud House are behind one of our most-popular Marlborough Sauvignon Blancs. They've taken their expertise to Chile to create something equally delicious. The main difference? You can pick up this crisp and zesty wine for a lower price. It’s incredibly refreshing with citrus, tropical and grassy notes. A real treat with chilli prawns and a yoghurt dip.;£9.99 per bottle;75CL;Sauvignon Blanc;null;Screwcap;Chile;Citrus Fruit, Grass, Tropical Fruit;White;ABV 12.50%;Central Valley;Crisp & Zesty;2022
Château d'Anglès 'Grand Vin' 2019/20, La Clape;Winemaker Eric Fabre spent eight years as Technical Director at the world-renowned Château Lafite Rothschild – where the wines demand three-figure price tags. In 2001 he decided to take his considerable expertise to the Languedoc and, together with his wife Christine, bought the historic Château d'Anglès. The estate lies in La Clape, an appellation famed for the quality of its reds. And that quality is certainly reflected in this, the château’s grand vin. It’s an expressive, full-bodied blend of Grenache, Syrah and Mourvèdre, which spends at least 10 months maturing in oak to give it extra complexity and a smooth, decadent texture. Expect powerful flavours of ripe red and black fruits, liquorice and tobacco, plus a long, fresh finish that pairs perfectly with juicy meats. Try it with steak or cellar it for up to 20 years.;£18.99 per bottle;75CL;Mourvèdre;Syrah;Natural Cork;France;Spice, Black Fruit, Dried Herbs;Red;ABV 14.50%;Languedoc-Roussillon;Bold & Spicy;2020
Bouvet Ladubay Saumur Rosé Brut;You would believe it if I said to you that was £40. That was celebrity chef James Martin’s verdict when he first tasted this wine. We have to agree – if you’re a fan of rosé Champagne, then this is an absolute steal. It’s made using the same Traditional Method as Champagne, which makes the price of this delicious fizz all the more incredible. Creamy. Fresh. Floral. It’s full of raspberry and peach flavours with a touch of white blossom. Delicious with cheesecake.;£14.99 per bottle;75CL;Cabernet Franc;null;Natural Cork;France;Strawberry, Floral, Peach, Raspberry, Red Fruit;Rosé;ABV 12.50%;Loire;Crisp & Fruity;NV
Petaluma ‘White Label’ Sauvignon Blanc 2021, Adelaide Hills;Petaluma are renowned for crafting exceptional wines that represent the best of Australia’s regional classics. Their wines command premium prices – but if you want to taste their expertise for less, the ‘White Label’ range showcases their winemaking prowess without compromise on quality. For this crisp Sauvignon, they went to the cool slopes of Adelaide Hills. Vines here produce what’s widely considered to be the benchmark for Australian Sauvignon – grapes with refreshing acidity and intense fruity flavours. Expect zesty notes of grapefruit, melon and passionfruit with fresh-cut grass on the finish. It’s the perfect bottle to enjoy with light fish dishes;£19.99 per bottle;75CL;Sauvignon Blanc;Pinot Noir;Screwcap;Australia;Grapefruit, Grass, Lemon, Melon, Passionfruit;White;ABV 12.50%;South Australia;Crisp & Zesty;2021
Rosé Classics 6 Bottle Wine Case;Rosé wine is perfect for when the sun comes out. And our impressive collection includes several much-loved examples, hailing from Provence and beyond. Discover a selection of these bestsellers in this case.;£79.00 per case;Our;null;null;null;null;null;Rosé;null;null;null;null
Beato Bartolomeo ‘Naturae' Pinot Noir 2021, Veneto;Pinot Noir isn’t often associated with Italy – but this famously finicky grape variety thrives in the country’s north east. In fact, it’s been grown in the Veneto region for centuries, and is even known locally as Pinot Nero. This exclusive bottling is made by Beato Bartolomeo, a cooperative based in Breganze DOC in the Alpine foothills. They’ve been making high quality wines since 1950, so they know just how to get the best out of their grapes. Cool Alpine influences keep the Pinot Noir’s flavours bright and fresh, so the team leaves the wine unoaked to let those flavours take centre stage. Discover juicy notes of strawberry and raspberry, plus soft, elegant tannins that’ll pair perfectly with charcuterie.;£11.99 per bottle;75CL;Pinot Noir;null;Screwcap;Italy;Raspberry, Red Fruit, Strawberry;Red;ABV 12.00%;Veneto;Light & Elegant;2021
Beato Bartolomeo ‘Naturae' Vespaiolo 2022, Breganze DOC;Grapes have been grown in Breganze DOC for more than 1,000 years. The tiny appellation lies in the foothills of the Italian Alps, and it’s here that the Beato Bartolomeo cooperative was founded back in 1950. Today, they set the standard for the region's wines. And this crisp white is a case in point. It’s made from Vespaiolo, a grape variety that’s famously used to make sweet wines – and as you’ll see in this, it makes delicious dry styles too. It’s fresh and zesty with notes of lemon and grapefruit, plus a touch of honey. The citrusy flavours make it an ideal match for fish and seafood. If you love Sauvignon Blanc but want to try something a little different, this is the wine for you.;£11.99 per bottle;75CL;Vespaiola;null;Screwcap;Italy;Grapefruit, Honey, Lemon;White;ABV 12.00%;Veneto;Crisp & Zesty;2022
Chosen by Majestic Picpoul de Pinet 2022;We sent our award-winning buying team all around the world on an exciting new mission: to curate a new collection showcasing the best examples of key regions and core grape varietals – at great prices. Cave l'Omarine are Picpoul de Pinet’s leading cooperative, with roots in the appellation stretching back to 1922. Their vineyards are centred around the village of Pinet itself, where cooling breezes off the nearby Thau lagoon preserve the Picpoul grapes’ natural acidity. And you’ll find plenty of that fresh, zingy character in this. It's crisp and dry with zesty lemon and green apple notes, plus a touch of saline minerality. Its citrusy flavours make it the ideal accompaniment to shellfish, or you can enjoy it on its own as a refreshing apéritif.;£11.29 per bottle;75CL;Picpoul;null;Screwcap;France;Citrus Fruit, Green Apple, Mineral;White;ABV 12.00%;Languedoc-Roussillon;Crisp & Zesty;2022
Piccini ‘Histrio’ Organic Anfora Toscana Bianco 2022;Piccini are one of Italy’s most dynamic and innovative producers. Now in their fourth generation of family ownership, they have over 140 years of expertise behind them. Their roots lie in Tuscany – and today they’re considered one of the region’s leading wineries. This aromatic white blend combines two traditional Tuscan grape varieties, Vermentino and Malvasia. It spends seven weeks maturing in special clay amphorae, which gives it an elegant texture while still allowing the fruit flavours to take centre stage. Discover notes of white flowers, orange peel and tropical fruits with a touch of spice and gentle minerality. These complex flavours make it an excellent match for fish and seafood dishes.;£12.99 per bottle;75CL;Vermentino;Malvasia;Natural Cork;Italy;Floral, Spice, Tropical Fruit;White;ABV 12.50%;Tuscany;Ripe & Rounded;2022
Piccini ‘Histrio’ Organic Anfora Toscana Rosso 2020;Piccini are one of Italy’s most dynamic and innovative producers. Now in their fourth generation of family ownership, they have over 140 years of expertise behind them. Their roots lie in Tuscany – and today they’re considered one of the region’s leading wineries. This vibrant blend combines two classic Tuscan grape varieties, Sangiovese and Malvasia Nera. It spends 12 weeks maturing in special clay amphorae, which gives it an elegant texture while still allowing the fruit flavours to take centre stage. Expect delicate floral aromas alongside fresh cherry and red-berry flavours. Its soft tannins and long, fruity finish make it the perfect pairing for red meats or aged cheeses.;£12.99 per bottle;75CL;Sangiovese;Malvasia Nera;Natural Cork;Italy;Floral, Red Cherry, Red Fruit;Red;ABV 13.50%;Tuscany;Soft & Fruity;2020
Château Minuty 'M de Minuty' Rosé 2021/22, Côtes de Provence;Thirty years ago, Minuty started making a new style of rosé, based on freshness above all else. These pale wines became the benchmark for today’s most popular style of rosé – refreshingly crisp and delicate Provence pink. And Minuty is still the gold standard. Not only are they one of the very last wineries in Provence to pick their grapes by hand, they’re also one of only 18 to be designated Cru Classé – the best of the best. It’s fresh and juicy, with white peach and grapefruit flavours. The taste of an idyllic summer's evening, it’s a dream with a fresh niçoise salad. Please note that this product may have either a cork or screwcap closure.;£17.99 per bottle;75CL;Grenache;Syrah, Cinsault;Natural Cork;France;Strawberry, Herbaceous, Peach, Raspberry;Rosé;ABV 13.00%;Provence;Delicate & Dry;2022
Nicolas Feuillatte 'Grande Réserve' Brut Champagne;Feuillatte is far and away the most popular Champagne label in France. It’s a name that guarantees quality and flavour in every bubble – and the Grande Réserve Brut takes their expertise to new heights. A step up from their original brut Champagne, it has more Chardonnay in the blend and uses a higher proportion of reserve wines, giving the winemaker even more possibilities to curate delicious flavour. It’s aged for at least three years in their cellars, slowly developing complex flavours and a rich texture. The ideal wine to elevate any occasion – at fantastic value. Expect fresh notes of grapefruit, tangerine, plum and nectarine with a smooth, creamy finish.;£29.99 per bottle;750ML;Pinot Meunier;Chardonnay, Pinot Noir;Natural Cork;France;null;White;ABV 12.00%;null;Rich & Toasty;NV
Louis Jadot 'Les Roches Blanches' Mâcon-Villages 2022;Louis Jadot is one of the biggest names in Burgundy – a name you can depend on for well-made, consistently delicious wines. Their Mâcons are Majestic favourites for a reason. They offer the quality guarantee of Jadot at a wallet-friendly price. Winemaker Frédéric Barnier built a reputation for elegant white wines working at £40+ a bottle Château de Chassagne Montrachet. You can taste his skill here too. For this, he’s used parcels of grapes from the very best sites in the Mâcon. It’s purposely unoaked to showcase the fresh, fruity character of Chardonnay. Discover flavours of apple, pear and a subtle, pastry-like richness. A perfect pairing for chicken dishes or a creamy carbonara. In 2022, this wine won an IWC award for the 2021 vintage.;£16.99 per bottle;75CL;Chardonnay;null;Natural Cork;France;Peach, Apricot, Floral, Lemon;White;ABV 13.00%;Burgundy;Ripe & Rounded;2022
Toast & Honey Chardonnay 2021, California;Toast & Honey Chardonnay embodies everything there is to love about ripe and full-bodied New World whites. Produced by fourth-generation winemakers with links to some of the best grapes in Lodi, it’s an exclusive celebration of the bold character that has been leading the recent trends. And the care and attention goes beyond the bottle. Sustainable viticulture is key – efforts are focused on reducing water use and building healthy soil systems are all part of a movement towards maintaining a healthy wildlife habitat. Discover delicious toasted vanilla notes and honeyed flavours of stone fruits, baked apple and crème brûlée. Its rich texture makes it an ideal pairing for buttery roast chicken.;£14.99 per bottle;75CL;Chardonnay;null;Natural Cork;USA;Almond, Coconut, Green Apple, Honey, Peach, Pineapple, Stone Fruit, Vanilla, Toast;White;ABV 13.00%;California;Rich & Toasty;2021
Domini Veneti 'La Casetta' Valpolicella Ripasso DOC Superiore 2019;This is Valpolicella Ripasso with a difference. Ripasso wines are made by adding the leftover grape skins from Amarone production to standard Valpolicella, giving greater depth of flavour, texture and tannin. But Domini Veneti’s winemakers go a step further to make La Casetta. They re-ferment the wine with skins leftover from making Recioto – an intensely rich dessert wine – which pushes it into another dimension of flavour. Consider this an exceptional value ‘Baby Amarone’. It’s intense and spicy with rich, heady aromas. Expect notes of plum, cherry, chocolate and dried fruits. The silky texture and elegant tannins match perfectly with game dishes or roasted mushrooms.;£18.99 per bottle;75CL;Corvina;Rondinella, Corvinone;Natural Cork;Italy;Vanilla, Fig, Red Cherry, Red Plum, Sweet Spice;Red;ABV 14.50%;Veneto;Rich & Juicy;2019
Langlois-Chateau 'L'Extra par Langlois' Crémant de Loire Brut;Langlois-Chateau is owned by Bollinger, one of Champagne's most prestigious houses. They make this fizz using the same traditional method as premium French sparkling – but because it's from the Loire Valley, it offers excellent value as well as delicious flavour. And since the blend uses only white grapes, you'll find it particularly fresh and aromatic. It's rounded and refreshing with citrusy and toasty flavour.;£15.99 per bottle;75CL;Chenin Blanc;Chardonnay;Natural Cork;France;Bread, Green Apple, Pear;White;ABV 12.50%;Loire;Crisp & Fruity;NV
The Guv'nor Blanco, Spain;Spain's winemaking rules are notoriously strict and convoluted. Like The its ever-popular red sibling, The Guv'nor Blanco breaks them all. No restrictions on vintage, region or labelling – and the result is a delicious wine that reflects the warm, sunny climate of its homeland. It’s a bold, full-bodied blend of Verdejo and Sauvignon Blanc, with some oak-aged Chardonnay added to dial up the richness. Discover juicy notes of ripe citrus and tropical fruits that'll sing with the paprika spice of chorizo in Spanish-inspired dishes – try it with seafood paella.;£8.99 per bottle;75CL;Verdejo;Sauvignon Blanc, Chardonnay;Screwcap;Spain;Lime, Fennel, Green Apple;White;ABV 12.50%;null;Crisp & Zesty;NV
E. Guigal Côtes du Rhône 2019/20;The Rhône Valley is one of the most ancient wine regions in the whole world. The Guigal family are third-generation winemakers that have made a massive impression here. Their name is now synonymous with excellent quality Rhône wines. And it’s all down to their meticulous approach. They pay growers three times the market rate to get the best grapes and even make their own barrels to ensure the ageing process is spot on. This has a higher proportion of Syrah than the usual Southern Rhône blend, making it extra fruity and warmly spicy. It’s a fantastically versatile wine, ideal for buffets with Lyonnaise-style cold meats.;£14.99 per bottle;75CL;Grenache;Syrah, Mourvèdre;Natural Cork;France;White Pepper, Black Plum, Blackberry, Earth, Raspberry, Spice;Red;ABV 15.00%;Rhône;Bold & Spicy;2020
Ridgeview 'Fitzrovia' Rosé, Sussex;Ridgeview is regarded as one of England’s finest wineries. The Roberts family have been crafting premium sparkling wines in East Sussex since 1995. Some of their collection has been served at state banquets hosted by the Royal Household – a sure sign of their excellence. Now managed by the second generation, the family have made sustainability the heart of their business, and are currently the only holder of B Corp certification for a traditional method English sparkling wine company. Fitzrovia Rosé is a classic blend of Chardonnay, Pinot Noir and Pinot Meunier – all of which is picked from 10 select vineyards across the South East of England. Once bottled, the wine spends an average of 18 months ageing on its lees. Such attention to detail results in a balanced, complex fizz that’s certain to add a touch of luxury to any occasion. You'll find it crisp and refreshing, with flavours of red summer fruits, honey and citrusy sherbet. Its delicately creamy finish adds to its finesse.;£43.99 per bottle;750ML;Chardonnay;Pinot Meunier, Pinot Noir;Natural Cork;England;Honey, Lemon, Raspberry, Red Cherry;Rosé;ABV 12.00%;Sussex;Crisp & Fruity;NV
Toast & Honey Pinot Noir 2021/22, California;This exclusive Pinot Noir is produced by fourth-generation winemakers with links to some of the best grapes in Lodi, California. Although it’s best known for its Zinfandel, Lodi’s Mediterranean climate produces Pinot Noir with the perfect balance of freshness and ripe, expressive flavours. And none showcase this better than Toast & Honey wines. In their vineyards, care for the vines carries over to the surrounding environment. With sustainability at the heart of everything they do, they promote cover crops and biodiversity – all helping to reduce evaporation, improve soil quality and create a healthy habitat for insects, bugs and, of course, bees. It’s classically silky Californian Pinot with juicy flavours of raspberry, cherry and berry compote, plus complex notes of baking spice from careful use of oak. Its balance of ripe-fruit flavour and oaky hints make it a perfect pairing for sautéed mushrooms or chargrilled meats.;£14.99 per bottle;75CL;Pinot Noir;null;Natural Cork;USA;Black Cherry, Cedar, Raspberry, Red Fruit, Smoke, Toast;Red;ABV 13.00%;California;Smooth & Mellow;2022
Selladore en Provence Rosé 2021, Coteaux Varois en Provence;If you’re a fan of the ever-popular Tyrrells crisps, this wine might just make a perfect pairing. Both are the brainchild of William Chase – creator of Herefordshire’s award-winning Chase Distillery. Suffice to say, that his high standards also apply to this traditional, pale pink Provence rosé. Production is small. So the focus is on ensuring only the finest grapes make the grade. Winemaking is led by Dale Clarke, who honed his skills in his native Australia and at M. Chapoutier, the Rhône Valley’s leading biodynamic producer – an influence that has led William and Dale to convert their winery to organic farming. Come harvest time, grape picking begins at 3am to keep the fruit’s freshness intact. Once crafted, a portion of the blend is left to age on its lees, which adds a creamy texture to this impressive wine. It’s a wonderfully aromatic, bone-dry Provence rosé. Expect plenty of stone-fruit and citrus notes, with standout flavours of peach and grapefruit. It’s silky texture and crisp acidity makes it the perfect choice for goat’s cheese dishes.;£21.99 per bottle;75CL;Grenache;Cinsault, Syrah, Vermentino;Vinolok;France;Citrus Fruit, Red Fruit, Mineral;Rosé;ABV 13.00%;Provence;Delicate & Dry;2021
Definition Gavi di Gavi DOCG 2021/22;The Definition range brings the world's greatest wine styles to Majestic customers. We tasked our buyers with finding the definition of Gavi di Gavi. They searched the hillside vineyards of Piedmont, a prestigious area where the landscape is dominated by the majestic Alps. This wine comes from the vineyards within the town of Gavi itself, where the Cortese grape ripens slowly thanks to the altitude and cool sea breezes. It’s a fresh, citrusy, food-friendly wine with flavours of ripe apple, lemon peel and a hint of almond with a long concentrated finish. It’s renowned for its ability to pair with food and its crisp flavours work brilliantly with seafood risotto.;£14.99 per bottle;75CL;Cortese;null;Screwcap;Italy;Green Apple, Herbaceous, Pear;White;ABV 12.50%;Piedmont;Fresh & Elegant;2022
Pasqua 'Desire, Lush & Zin' Primitivo 2021/22, Puglia;Love big, bold reds? If so, you’ve likely tried Californian Zinfandel or Italian Primitivo. These sibling grapes may be genetically identical, but each has its own distinct character. And this velvety bottling combines the best of both. It’s a classic, earthy Primitivo with a modern twist inspired by the smooth, plush character of Zinfandel. The grapes are macerated in their own juice before fermentation, which dials up the delicious fruity flavour. And six months of oak ageing gives it extra complexity and a silky texture. Discover notes of cherry, plum, coffee and cocoa, plus hints of black pepper and vanilla spice. It’s the perfect partner for rich tomato-based dishes.;£12.99 per bottle;75CL;Primitivo;null;Natural Cork;Italy;Vanilla, Black Fruit, Black Plum;Red;ABV 13.50%;Puglia;Rich & Juicy;2022
La Toledana Gavi di Gavi DOCG 2021;Gian Battista Cambiaso planted the very first Cortese vines in Gavi 400 years ago. The dry white wine he produced was the first recorded in the region, and his Castello La Toledana is one of the very few Genoese noble houses still standing today. Bordering the coastal region of Liguria, their Cortese grapes are cooled by sea breezes and develop mouth-watering flavours. Gavi is often called the ‘Chablis of Italy’, and we can see why. Crisp. Fresh. Citrusy. It’s deliciously refreshing and aromatic, with hints of white peach and honey. Unsurprisingly, given where it’s from, Gavi is fantastic with pesto and vegetable dishes.;£15.99 per bottle;75CL;Cortese;null;Natural Cork;Italy;Lime, Citrus Fruit, Floral, Green Apple, Lemon;White;ABV 13.00%;Piedmont;Aromatic & Floral;2021
